CUST_NO,CLIENT_SEGMENT,FULL_NAME,ENTITY_NAME,DOB,SEX,TAX_ID,COMPANY_REG_NO,NZBN,ADDR_1,ADDR_2,ADDR_3,CONTACT_PH_1,CONTACT_PH_2,EMAIL_ADDR,OCCUPATION_CD,EMPLOYER,INCOME_BAND,ONBOARD_DT,KYC_VERIFIED,KYC_LAST_REVIEW,AML_RISK,PEP_IND,PRODUCT_CODES,ACCT_CNT,TOTAL_DEP_BAL,TOTAL_LOAN_BAL,INTERNAL_RISK_GRADE,HOME_BRANCH_CD,E_STATEMENTS,DECEASED_IND,STATUS
00404063,SME,,RANGITOTO SECURITY SERVICES LTD,,,,3608911,,223 TOTARA DR,FRANKTON,HAMILTON 3204,(07) 3466917,+64276270848,,,,,30-MAR-1996,Y,11-MAY-2026,H,N,BCC|BCHQ|MERCH,6,211535.82,1500000,5,BR112,Y,N,A
00402362,RETAIL,"LI, VICKY",,29-APR-1992,F,111387503,,,4/29 KERERU CRES,NEWTOWN,WELLINGTON 6021,022-1895855,(04) 7155005,VICKY1@GMAIL.COM,TEAC,SELF,D: 120K+,09-JUL-2010,N,09-JUN-2022,L,N,CC|CHQ|MTG|SAV,4,10369.51,597873.88,5,BR102,Y,N,A
00402806,RETAIL,"ANDERSON, DANIEL",,07-SEP-1982,M,102000501,,,88 BEACH RD,MORNINGTON,DUNEDIN 9011,029-3640978,,DANIEL43@GMAIL.COM,UNEM,AUCKLAND COUNCIL,B: 30-70K,03-OCT-2024,Y,07-MAR-2022,L,N,CC|INS|TD,3,8522.7,0.0,1,BR134,Y,N,A
00402472,RETAIL,"AHMED, ROBERT",,21-FEB-1960,M,137047387,,,42 QUEEN ST,ST CLAIR,DUNEDIN 9012,+64212464024,,ROBERT99@HOTMAIL.COM,UNEM,SPARK,D: 120K+,03-APR-2020,Y,25-DEC-2025,M,N,CHQ|MTG|PL|SAV,1,21844.7,612943.66,2,BR119,N,N,A
00400631,RETAIL,"WILSON, JESS",,27-SEP-1950,F,106452900,,,72 RATA RD,PONSONBY,AUCKLAND 1011,+64225978158,,,SOFT,FONTERRA,D: 120K+,19-MAR-1997,N,16-SEP-2025,L,N,TD,4,11260.5,0.0,5,BR109,Y,N,A
00403239,RETAIL,"SCOTT, RAWIRI",,10-JUN-1949,M,100698827,,,202 VICTORIA DR,,WELLINGTON 6012,+64276401448,(04) 8653000,,PUBL,FLETCHER BUILDING,A: <30K,28-JUN-2026,N,08-AUG-2022,L,N,CHQ|INS|TD,4,31790.99,0.0,5,BR138,Y,N,D
00403421,RETAIL,"STEWART, SIONE L",,20-AUG-2001,M,113786172,,,189 BEACH CRES,ONEHUNGA,AUCKLAND 1061,+64298591123,,,RETA,SOUTHERN CROSS FREIGHT LTD,B: 30-70K,10-AUG-2011,N,06-DEC-2020,L,N,SAV|TD,1,16213.71,0.0,4,BR144,Y,N,A
00403260,RETAIL,"SHARMA, LUCA",,26-OCT-1979,M,120867416,,,114 ALBERT CRES,OTUMOETAI,TAURANGA 3110,021-4401744,(07) 8889528,LUCA73@GMAIL.COM,DOCT,HARBOURVIEW AGED CARE LTD,D: 120K+,01-JUN-2011,Y,05-OCT-2024,L,N,INS,2,10848.78,0.0,2,BR123,Y,N,A
00404358,SME,,ALPINE SKI HIRE,,,,3266774,,179 NIKAU ST,JOHNSONVILLE,WELLINGTON 6037,(04) 4026655,,,,,,03-MAY-2012,N,16-NOV-2025,L,N,MERCH|OD|TD,4,109533.96,300000,4,BR149,Y,N,A
00400155,RETAIL,"WILLIAMS, STEVE M",,25-FEB-1974,M,109443176,,,188 MATAI DR,MIRAMAR,WELLINGTON 6022,029-9537987,,STEVE43@HOTMAIL.COM,ACCO,SPARK,C: 70-120K,05-OCT-2004,Y,23-JUN-2021,L,N,CC,1,6837.57,0.0,6,BR101,Y,N,A
00403447,RETAIL,"TE RANGI, ISLA",,29-FEB-1956,F,116326348,,,15 MARINE PL,REMUERA,AUCKLAND 1050,027-6492030,,,LAWY,AUCKLAND COUNCIL,B: 30-70K,09-JUN-1996,Y,13-MAY-2018,H,N,CHQ,4,50810.42,0.0,3,BR133,Y,N,A
00402956,RETAIL,"WHITE, JOSHUA J",,30-DEC-1996,M,,,,42 MARINE DR,SUMNER,CHRISTCHURCH 8081,+64229156255,,JOSHUA71@GMAIL.COM,RETA,AUCKLAND COUNCIL,A: <30K,08-JUN-2009,Y,31-JAN-2020,L,N,INS|MTG|PL|TD,1,15322.37,787948.74,4,BR129,N,N,A
00402680,RETAIL,"JOHANSSON, OLIVER G",,14-OCT-1992,M,113807640,,,10/41 QUEEN RD,MERIVALE,CHRISTCHURCH 8014,+64226444461,,OLIVER37@GMAIL.COM,RETI,SPARK,B: 30-70K,06-MAY-1996,N,14-JAN-2020,M,N,CHQ,2,14602.51,0.0,2,BR133,Y,N,A
00401105,RETAIL,"KIM, WEI",,03-MAY-1982,M,,,,128 CLYDE RD,RICCARTON,CHRISTCHURCH 8011,029-5413940,(03) 7127977,WEI66@XTRA.CO.NZ,ACCO,AIR NEW ZEALAND,A: <30K,25-MAR-2014,Y,09-FEB-2018,M,N,CHQ,3,12511.32,0.0,1,BR126,N,N,A
00402164,RETAIL,"SMITH, JOSHUA",,08-APR-1941,M,111063739,,,217 CHURCH AVE,JOHNSONVILLE,WELLINGTON 6037,,(04) 9774008,JOSHUA93@GMAIL.COM,ENGI,FLETCHER BUILDING,A: <30K,04-SEP-2023,N,02-SEP-2022,M,N,CC|PL,1,1026.85,0.0,2,BR116,Y,N,A
00402715,RETAIL,"MITCHELL, JUN",,28-FEB-1966,M,138492199,,,5/236 CLYDE CRES,RICCARTON,CHRISTCHURCH 8011,+64291670789,(03) 7881836,,RETI,FONTERRA,A: <30K,04-OCT-1988,Y,10-APR-2019,H,N,CHQ|PL|SAV,2,9302.0,0.0,2,BR108,N,N,A
00400789,RETAIL,"YOUNG, HELEN L",,09-MAY-1979,F,122645261,,,108 TOTARA RD,REMUERA,AUCKLAND 1050,022-7146668,,HELEN24@GMAIL.COM,TRUC,SELF,B: 30-70K,15-OCT-1994,Y,17-MAY-2023,L,N,CHQ|MTG,1,43079.15,590132.08,4,BR135,Y,N,A
00400187,RETAIL,"WANG, MATEO",,26-JUL-1947,M,124317923,,,67 MATAI AVE,,WELLINGTON 6037,029-5176504,,,FARM,TE WHATU ORA,C: 70-120K,26-AUG-2024,Y,05-OCT-2019,L,N,INS|PL|SAV,3,68445.18,0.0,4,BR140,N,N,A
00401624,RETAIL,"VAN DER BERG, ANNA L",,04-MAY-1951,F,136518638,,,210 KAURI TCE,SUMNER,CHRISTCHURCH 8081,022-8224665,(07) 3801619,ANNA38@GMAIL.COM,DOCT,SELF,B: 30-70K,21-JAN-2008,N,08-MAR-2023,H,N,INS,4,4219.92,0.0,5,BR152,N,N,A
00403148,RETAIL,"WILSON, MIKE G",,03-NOV-1984,M,,,,226 STATION ST,,WELLINGTON 6037,0277825311,,MIKE80@GMAIL.COM,STUD,SOUTHERN CROSS FREIGHT LTD,D: 120K+,25-AUG-2011,Y,12-MAR-2019,M,N,PL,1,10251.19,0.0,5,BR159,Y,N,A
00401281,RETAIL,"KIM, NAOMI",,09-NOV-1994,F,118531608,,,5/51 GREAT NORTH DR,FRANKTON,HAMILTON 3204,022-4103116,,,DOCT,,A: <30K,09-JUN-2006,Y,09-FEB-2020,L,N,INS|PL|SAV,3,27307.1,0.0,3,BR158,N,N,A
00403281,RETAIL,"MACLEOD, HAMISH J",,25-NOV-1982,M,106567225,,,115 MARINE CRES,SUMNER,CHRISTCHURCH 8081,,,,ACCO,SPARK,B: 30-70K,31-MAY-2025,Y,31-OCT-2020,L,N,INS|SAV,1,12517.11,0.0,2,BR141,N,N,A
00402040,RETAIL,"FALEOLO, TEVITA K",,02-JUL-1995,M,,,,70 PARK TCE,ONEHUNGA,AUCKLAND 1061,+64218503762,,,NURS,,B: 30-70K,07-SEP-1999,Y,13-JUN-2019,M,N,CC|CHQ|MTG,4,15040.27,273590.32,3,BR124,Y,N,A
00404316,CORP,,TOTARA TREE CARE LTD,,,104400292,4661158,9429347567187,83 MANUKA RD,OTUMOETAI,TAURANGA 3110,(07) 3073937,,,,,,15-AUG-1992,Y,02-JUL-2023,M,N,BCC|TD,3,24703.44,300000,2,BR140,Y,N,A
00403593,RETAIL,"MITCHELL, SUSAN L",,05-OCT-1946,F,101196273,,,2 HILL ST,JOHNSONVILLE,WELLINGTON 6037,021-9375166,(07) 6118097,,CHEF,SOUTHERN CROSS FREIGHT LTD,B: 30-70K,18-NOV-2008,Y,11-JUN-2025,M,N,CHQ|PL,1,17636.01,0.0,4,BR123,N,N,A
00401453,RETAIL,"FONOTI, DAVE J",,26-JAN-2000,M,,,,46 NIKAU TCE,FRANKTON,HAMILTON 3204,0299165486,,DAVE92@HOTMAIL.COM,UNEM,FONTERRA,B: 30-70K,07-JAN-1990,N,09-SEP-2018,L,Y,CHQ|INS,3,49266.66,0.0,1,BR152,N,N,A
00404564,RETAIL,"WILSON, AMELIA",,05-SEP-2001,F,,,,148 QUEEN AVE,HENDERSON,AUCKLAND 0612,022-4457347,,AMELIA82@GMAIL.COM,ENGI,SELF,C: 70-120K,02-OCT-2018,Y,11-MAR-2022,M,N,SAV,1,46018.2,0.0,3,BR133,N,N,A
00404517,SME,,MOA HUNTER OUTDOOR LTD,,,,8343725,,85 POHUTUKAWA PL,PAPAMOA,TAURANGA 3118,(07) 7692552,,,,,,21-APR-2025,Y,08-JUN-2020,H,N,MERCH,2,138751.68,300000,4,BR141,Y,N,A
00403974,RETAIL,"SCOTT, DAN",,24-MAR-1957,M,124791682,,,49 KOWHAI PL,NEWTOWN,WELLINGTON 6021,+64222062059,,DAN80@HOTMAIL.COM,PUBL,,B: 30-70K,04-AUG-2013,Y,09-JAN-2020,L,N,CC|PL|SAV,2,13137.68,0.0,3,BR141,N,N,A
00400877,RETAIL,"FITZGERALD, ARJUN A",,12-JAN-1973,M,124601755,,,17 MARINE AVE,,HAMILTON 3210,+64228192189,(07) 3094200,,FARM,FLETCHER BUILDING,C: 70-120K,29-MAR-1994,Y,11-FEB-2018,M,N,INS,1,4056.47,0.0,1,BR129,Y,N,A
00400767,RETAIL,"VAN DER BERG, SOPHIE",,21-APR-1979,F,136967480,,,203 BEACH AVE,HALSWELL,CHRISTCHURCH 8025,021-1096686,(03) 8085268,,RETA,AUCKLAND COUNCIL,B: 30-70K,11-APR-1999,N,16-OCT-2023,L,N,CC|PL|SAV,2,17012.51,0.0,4,BR124,N,N,A
00400518,RETAIL,"WILLIAMS, JENNIFER",,10-OCT-1964,F,,,,10 PARK ST,ONEHUNGA,AUCKLAND 1061,029-4263431,,JENNIFER82@XTRA.CO.NZ,DOCT,SPARK,C: 70-120K,26-DEC-1994,Y,26-AUG-2023,M,N,PL,4,47164.9,0.0,2,BR124,Y,N,A
00400212,RETAIL,"TAYLOR, AISHA L",,06-APR-1989,F,120591774,,,6/156 QUEEN RD,HILLCREST,HAMILTON 3216,029-9229155,,AISHA26@GMAIL.COM,TRUC,KENDRIX ENGINEERING LTD,C: 70-120K,05-SEP-2012,N,11-JAN-2025,H,N,CC|INS,3,38290.45,0.0,3,BR118,Y,N,A
00401180,RETAIL,"MCDONALD, LUCA",,21-JAN-1965,M,,,,229 MARINE DR,ONEHUNGA,AUCKLAND 1061,+64271928315,(03) 8141905,LUCA20@GMAIL.COM,ENGI,SPARK,B: 30-70K,02-AUG-1992,N,31-MAR-2024,M,N,CC|MTG|PL,2,13941.88,554256.53,3,BR106,N,N,A
00401872,RETAIL,"YOUNG, AISHA",,30-APR-2004,F,115807123,,,212 MANUKA TCE,RICCARTON,CHRISTCHURCH 8011,+64292884361,,,DOCT,SOUTHERN CROSS FREIGHT LTD,A: <30K,02-MAY-2002,Y,11-OCT-2018,H,N,CHQ|MTG|PL|TD,4,2226.48,233840.12,2,BR107,N,N,A
00402306,RETAIL,"NGATA, RICK",,05-JAN-1972,M,,,,53 MATAI PL,MIRAMAR,WELLINGTON 6022,029-1481539,(04) 5189258,RICK39@GMAIL.COM,BUIL,SPARK,A: <30K,08-FEB-1990,N,29-APR-2025,L,N,MTG|PL,4,38080.04,680090.11,4,BR147,Y,N,D
00404497,CORP,,ŌTAUTAHI PRINT CO LIMITED,,,,8435807,,93 ALBERT DR,NEWTOWN,WELLINGTON 6021,(04) 9169103,,,,,,21-APR-2001,Y,27-APR-2023,H,N,BSAV|MERCH|OD|TD,3,33464.46,0,4,BR111,Y,N,A
00402239,RETAIL,"MARTIN, JENNIFER J",,17-APR-1960,F,125716404,,,117 HILL ST,HENDERSON,AUCKLAND 0612,+64226894066,,,ELEC,,B: 30-70K,06-AUG-2020,Y,01-APR-2024,M,N,INS|PL,2,6367.1,0.0,4,BR114,N,N,A
00401071,RETAIL,"TUHIWAI, CHARLOTTE L",,03-APR-1979,F,117745489,,,3/87 HILL CRES,CHARTWELL,HAMILTON 3210,021-7068019,,CHARLOTTE18@XTRA.CO.NZ,RETA,TE WHATU ORA,A: <30K,14-APR-2001,Y,26-DEC-2018,M,N,CHQ|MTG|TD,2,5922.7,826790.52,6,BR158,N,N,A
00400081,RETAIL,"WILLAIMS, JAMES",,09-AUG-1946,M,107596421,,,139 TUI AVE,CHARTWELL,HAMILTON 3210,029-4683078,(03) 4913559,JAMES1@XTRA.CO.NZ,CHEF,COUNTDOWN,A: <30K,11-NOV-2022,N,25-SEP-2023,L,N,CC|CHQ|PL,2,112813.72,0.0,2,BR143,Y,N,A
00400998,RETAIL,"HUGHES,W ILLIAM M",,19-FEB-1984,M,129486543,,,84 QUEEN CRES,HALSWELL,CHRISTCHURCH 8025,0297131318,(03) 7554702,WILLIAM57@GMAIL.COM,RETA,KENDRIX ENGINEERING LTD,C: 70-120K,28-JUL-2001,Y,21-FEB-2020,L,N,SAV,2,1415.54,0.0,5,BR144,N,N,A
00403379,RETAIL,"POHATU, JACK",,24-AUG-1965,M,108051503,,,205 CHURCH PL,SUMNER,CHRISTCHURCH 8081,,(03) 6453643,JACK64@HOTMAIL.COM,STUD,TE WHATU ORA,D: 120K+,09-OCT-2004,Y,04-OCT-2025,L,N,INS|MTG,4,6668.32,223239.46,4,BR137,Y,N,A
00404040,CORP,,SUMMIT ROOFING SUPPLIES LIMITED,,,131036371,2407739,,229 MANUKA PL,MOUNT MAUNGANUI,TAURANGA 3116,(07) 8426633,+64279611617,,,,,29-DEC-2015,N,27-MAY-2024,L,N,BCC|BSAV|EQF,3,47301.6,300000,3,BR147,Y,N,A
00400561,RETAIL,"SMITH, THOMAS",,27-OCT-1987,M,125748643,,,4/161 MARINE TCE,REMUERA,AUCKLAND 1050,0273197928,,,BUIL,HARBOURVIEW AGED CARE LTD,B: 30-70K,13-JUN-2016,Y,18-JUN-2026,M,N,CHQ|INS|MTG|PL,3,48583.89,461278.26,4,BR130,Y,N,A
00400948,RETAIL,"WILLIAMS, LOSA",,22-JUL-1984,F,130694216,,,10/35 MATAI PL,,CHRISTCHURCH 8081,029-5040470,,LOSA22@GMAIL.COM,FARM,MINISTRY OF EDUCATION,B: 30-70K,26-FEB-2005,Y,01-JUN-2018,H,N,CC|MTG|SAV|TD,4,50508.21,369809.24,1,BR106,Y,N,D
00400558,RETAIL,"YOUNG, AISHA L",,29-SEP-1958,F,133085608,,,109 RANUI RD,ROSLYN,DUNEDIN 9010,0221007166,,AISHA34@GMAIL.COM,SOFT,COUNTDOWN,A: <30K,02-AUG-1997,Y,07-MAR-2025,H,N,CHQ|MTG|TD,1,4222.46,457740.85,2,BR125,N,N,A
00403319,RETAIL,"HUGHES, LUCA",,07-SEP-1982,M,127780974,,,236 CHURCH TCE,FRANKTON,HAMILTON 3204,027-4177166,,,BUIL,SELF,D: 120K+,12-AUG-2012,N,05-OCT-2019,L,N,CHQ|MTG|PL|SAV,3,21581.54,764471.28,1,BR153,N,N,D
00402246,RETAIL,"VAN DER BERG, ANANYA",,26-AUG-1978,F,129380168,,,94 BEACH DR,CHARTWELL,HAMILTON 3210,021-5667972,,,ELEC,HARBOURVIEW AGED CARE LTD,D: 120K+,03-NOV-1992,N,14-SEP-2019,L,N,CHQ|MTG|PL|TD,2,32857.22,165746.54,6,BR142,N,N,A
00402821,RETAIL,"AHMED, SIONE J",,05-MAY-1968,M,109411423,,,188 MANUKA CRES,OTUMOETAI,TAURANGA 3110,0272463871,,SIONE42@HOTMAIL.COM,STUD,SPARK,B: 30-70K,19-JUL-2014,Y,16-APR-2018,M,N,INS,4,59512.78,0.0,4,BR153,Y,N,A
00401557,RETAIL,"WHITE, MELE L",,07-AUG-2005,F,117079464,,,237 NIKAU ST,MORNINGTON,DUNEDIN 9011,0211469693,,MELE93@HOTMAIL.COM,BUIL,MINISTRY OF EDUCATION,A: <30K,24-MAY-1988,Y,15-JUN-2025,M,N,MTG|TD,1,952.2,716934.53,6,BR116,N,N,A
00403632,RETAIL,"CLARKE, MATEO",,17-MAY-1960,M,135914099,,,102 POHUTUKAWA TCE,PONSONBY,AUCKLAND 1011,+64272847437,,MATEO33@XTRA.CO.NZ,RETA,TE WHATU ORA,A: <30K,11-APR-2023,Y,01-JUL-2025,L,N,PL|TD,1,8867.53,0.0,1,BR100,N,N,A
00400470,RETAIL,"TUILAGI, JUN",,14-DEC-1973,M,,,,223 TOTARA ST,HALSWELL,CHRISTCHURCH 8025,+64273969368,(03) 5515491,JUN41@XTRA.CO.NZ,NURS,SELF,B: 30-70K,24-APR-1993,Y,24-NOV-2018,L,N,CHQ|SAV,2,26561.15,0.0,4,BR125,Y,N,A
00403769,RETAIL,"KENNEDY, BENJAMIN J",,24-OCT-1972,M,101971815,,,9/73 KAURI AVE,JOHNSONVILLE,WELLINGTON 6037,+64293570103,,BENJAMIN41@HOTMAIL.COM,STUD,SELF,A: <30K,07-OCT-2004,Y,22-APR-2025,L,N,INS|TD,4,12794.66,0.0,1,BR152,Y,N,A
00400697,RETAIL,"SHARMA, JAMES",,17-MAR-1940,M,,,,69 MARINE TCE,PAPANUI,CHRISTCHURCH 8053,029-1784354,,JAMES59@XTRA.CO.NZ,STUD,COUNTDOWN,D: 120K+,25-AUG-2012,Y,28-JUL-2019,L,N,SAV,1,70237.35,0.0,4,BR104,N,N,A
00401812,RETAIL,"WALKER, LUCA M",,29-MAY-1986,M,117863789,,,11/41 RANUI ST,NEWTOWN,WELLINGTON 6021,0272777766,(09) 4729369,,ACCO,FONTERRA,D: 120K+,03-NOV-1991,Y,01-AUG-2021,L,N,SAV,3,11582.01,0.0,1,BR120,Y,N,D
00400280,RETAIL,"ANDERSON, RICK",,28-APR-2005,M,115874576,,,88 TOTARA RD,REMUERA,AUCKLAND 1050,+64277612216,(09) 5614751,,FARM,HARBOURVIEW AGED CARE LTD,A: <30K,11-MAY-2017,Y,16-AUG-2023,H,N,CC|CHQ|INS,1,8597.14,0.0,4,BR112,Y,N,A
00402815,RETAIL,"TIPENE, ELIZABETH J",,22-JUL-1957,F,108489297,,,11/123 PARK TCE,MORNINGTON,DUNEDIN 9011,0273442473,(03) 6117183,ELIZABETH16@GMAIL.COM,DOCT,FLETCHER BUILDING,B: 30-70K,10-JUN-2026,N,27-DEC-2025,M,N,CC|CHQ|MTG|PL,4,1720.1,510259.9,3,BR123,Y,N,A
00401840,RETAIL,"CAMPBELL, STEVE",,08-NOV-2000,M,131709043,,,174 KAURI AVE,ST CLAIR,DUNEDIN 9012,0225589574,(03) 4096139,,SELF,FLETCHER BUILDING,C: 70-120K,28-MAY-1999,Y,18-DEC-2023,L,N,MTG|PL|TD,4,2242.62,419558.05,2,BR137,N,N,D
00402369,RETAIL,"WANG, JESS",,25-MAY-1947,F,133825711,,,11 RANUI CRES,,WELLINGTON 6022,+64291741041,(04) 2519459,JESS74@GMAIL.COM,ELEC,SELF,D: 120K+,27-APR-1994,Y,13-NOV-2020,L,N,TD,3,1979.95,0.0,6,BR144,Y,N,A
00401450,RETAIL,"TAYLOR, TANE K",,15-JUL-1983,M,,,,157 KERERU CRES,NEWTOWN,WELLINGTON 6021,+64214380408,(04) 4011799,TANE27@XTRA.CO.NZ,ACCO,AIR NEW ZEALAND,B: 30-70K,10-FEB-2014,Y,17-SEP-2021,L,N,CC|TD,2,11045.17,0.0,2,BR142,Y,N,A
00401307,RETAIL,"CLARKE, CHARLTOTE P",,27-JUL-1979,F,,,,67 POHUTUKAWA ST,,WELLINGTON 6022,+64222725487,,,PUBL,TE WHATU ORA,D: 120K+,17-OCT-2021,N,06-MAY-2022,L,N,CHQ|INS|MTG|PL,1,11205.57,795253.04,4,BR131,N,N,A
00402081,RETAIL,"ROBINSON, JUN",,11-FEB-1949,M,118425144,,,216 MATAI CRES,OTUMOETAI,TAURANGA 3110,022-4924038,,,BUIL,FONTERRA,A: <30K,28-APR-1997,Y,13-SEP-2025,M,N,CHQ|TD,4,10112.37,0.0,6,BR114,Y,N,A
00400891,RETAIL,"WHITE, WIREMU",,07-MAR-1953,M,124254116,,,124 HARBOUR AVE,ROSLYN,DUNEDIN 9010,+64227937674,,,TRUC,COUNTDOWN,B: 30-70K,12-JUL-2014,Y,22-JUN-2021,M,N,INS|PL|TD,3,3477.08,0.0,1,BR119,Y,N,A
00400138,RETAIL,"ROSSI, KATE",,30-APR-1961,F,,,,194 TUI AVE,OTUMOETAI,TAURANGA 3110,,,KATE86@XTRA.CO.NZ,SELF,AIR NEW ZEALAND,A: <30K,22-AUG-1992,N,14-JUL-2018,M,N,PL,4,20966.75,0.0,2,BR105,N,N,D
00404230,CORP,,Pounamu Design Studio Ltd,,,138391328,4153354,,245 STATION TCE,CHARTWELL,HAMILTON 3210,(07) 5459272,0224219477,,,,,22-JUL-1992,N,13-MAR-2019,M,N,BCC|BCHQ|OD,5,355640.82,0,3,BR151,Y,N,A
00402399,RETAIL,"POHATU, ANANYA",,26-JUL-1991,F,135553453,,,107 TUI PL,MOUNT EDEN,AUCKLAND 1024,022-8671146,(03) 2329853,ANANYA68@GMAIL.COM,STUD,AIR NEW ZEALAND,A: <30K,30-DEC-1999,N,09-APR-2019,M,N,CHQ|PL|SAV,3,4359.04,0.0,3,BR139,Y,N,D
00403035,RETAIL,"CAMPBELL, LIAM G",,03-AUG-1944,M,137466376,,,5/10 KAURI DR,HILLCREST,HAMILTON 3216,0271711120,(07) 6009765,LIAM2@HOTMAIL.COM,UNEM,,B: 30-70K,30-APR-2004,Y,01-FEB-2023,M,N,CHQ|PL|TD,3,6207.33,0.0,5,BR119,N,Y,C
00402347,RETAIL,"MURRAY, HELEN",,14-MAY-1944,F,125541167,,,52 GREAT NORTH RD,KARORI,WELLINGTON 6012,021-6765585,,HELEN93@XTRA.CO.NZ,CHEF,SPARK,D: 120K+,06-NOV-2015,Y,12-APR-2025,L,N,CHQ|MTG|TD,1,1869.07,305880.32,2,BR140,N,N,A
00404469,CORP,,Takahē Logistics Ltd,,,115253326,6273586,,138 VICTORIA CRES,PAPAMOA,TAURANGA 3118,(07) 6969937,0214206330,,,,,21-SEP-1995,Y,28-DEC-2022,M,N,BCC|OD,1,26207.7,300000,3,BR104,Y,N,A
00404418,SME,,KARAKA ORGANICS LIMITED,,,133838277,8239231,,114 HARBOUR RD,OTUMOETAI,TAURANGA 3110,(07) 2655314,,,,,,01-JUN-2003,N,11-JAN-2019,L,N,EQF,2,633239.88,0,5,BR150,Y,N,A
00401777,RETAIL,"POHATU, MELE J",,26-SEP-2005,F,132981674,,,90 KAURI RD,OTUMOETAI,TAURANGA 3110,0216650940,(07) 9505997,MELE75@HOTMAIL.COM,SELF,AUCKLAND COUNCIL,C: 70-120K,02-MAY-2008,Y,15-MAR-2020,M,N,CHQ|PL|TD,2,41024.2,0.0,1,BR120,N,N,A
00404631,RETAIL,"POHATU, DAVID",,18-SEP-1946,M,,,,11/235 TOTARA TCE,MOUNT MAUNGANUI,TAURANGA 3116,0212266484,(07) 9929698,DAVID37@GMAIL.COM,BUIL,TE WHATU ORA,C: 70-120K,12-MAR-2010,Y,19-NOV-2018,L,N,SAV,1,19487.83,0.0,5,BR106,Y,N,A
00403846,RETAIL,"THOMPSON, RAWIRI K",,24-SEP-1990,M,128932923,,,10 MANUKA RD,ONEHUNGA,AUCKLAND 1061,+64228546810,,RAWIRI30@HOTMAIL.COM,DOCT,MINISTRY OF EDUCATION,A: <30K,21-MAY-2003,Y,23-OCT-2024,L,N,CHQ|TD,1,683.3,0.0,2,BR104,N,N,A
00400120,RETAIL,"YOUNG, ANANYA",,29-DEC-1968,F,127534627,,,26 KERERU AVE,MOUNT MAUNGANUI,TAURANGA 3116,+64216624993,(07) 2797477,ANANYA74@GMAIL.COM,CHEF,SPARK,B: 30-70K,30-MAY-1994,N,12-APR-2025,L,N,INS,3,1090.79,0.0,5,BR131,Y,N,A
00403169,RETAIL,"LI, OLIVER",,14-JUN-1971,M,107934245,,,40 ALBERT CRES,PAPAMOA,TAURANGA 3118,021-7340358,,,RETI,AUCKLAND COUNCIL,B: 30-70K,24-SEP-1988,Y,30-DEC-2022,H,N,CC|SAV,4,2581.22,0.0,5,BR117,Y,N,D
00404197,SME,,Tūī Brewing Collective Ltd,,,116153314,3670241,,179 HILL TCE,ONEHUNGA,AUCKLAND 1061,(09) 2204142,,,,,,13-FEB-2001,Y,10-NOV-2023,H,N,BCC|TD,1,140677.62,0,3,BR150,Y,N,A
00400917,RETAIL,"YOUNG, ZOE",,06-APR-1967,F,116693619,,,79 RANUI ST,MOUNT MAUNGANUI,TAURANGA 3116,027-2347463,(07) 7328909,ZOE39@HOTMAIL.COM,SALE,KENDRIX ENGINEERING LTD,B: 30-70K,13-FEB-2024,Y,27-OCT-2020,L,N,CC|INS|TD,2,7747.29,0.0,6,BR116,Y,N,A
00403204,RETAIL,"TAYLOR, ZOE",,23-AUG-1996,F,102440640,,,3/199 STATION DR,MOUNT MAUNGANUI,TAURANGA 3116,,,ZOE79@GMAIL.COM,CHEF,COUNTDOWN,C: 70-120K,23-JUN-1988,N,26-AUG-2023,M,N,CC|MTG|SAV|TD,1,4455.81,658099.1,6,BR137,Y,N,A
00401237,RETAIL,"WHITE, RICHARD M",,11-JUL-1998,M,117696984,,,11/121 NIKAU RD,MORNINGTON,DUNEDIN 9011,+64223448541,,RICHARD46@HOTMAIL.COM,BUIL,TE WHATU ORA,D: 120K+,23-FEB-1992,Y,14-OCT-2023,L,N,MTG|PL|SAV,4,33617.96,500606.04,4,BR113,Y,N,A
00400160,RETAIL,"HARRIS, RACHEL",,16-JUN-1948,F,,,,218 ALBERT ST,TAKAPUNA,AUCKLAND 0622,,(09) 2286854,,ENGI,KENDRIX ENGINEERING LTD,A: <30K,01-JAN-2020,Y,01-MAR-2018,L,N,PL|TD,1,8366.91,0.0,2,BR145,Y,N,A
00402502,RETAIL,"WALKER, NIKOLAI",,05-MAR-1998,M,111619889,,,212 BEACH CRES,HALSWELL,CHRISTCHURCH 8025,+64222342229,(03) 5054620,,ELEC,TE WHATU ORA,D: 120K+,15-NOV-1992,Y,15-SEP-2018,H,N,CC|SAV,4,18024.1,0.0,6,BR143,Y,N,A
00403219,RETAIL,"MARTIN, KIRI",,06-JUN-1998,F,128762886,,,5/14 HILL AVE,MOUNT MAUNGANUI,TAURANGA 3116,+64277403573,(07) 4019667,KIRI9@GMAIL.COM,SALE,TE WHATU ORA,C: 70-120K,04-AUG-1995,Y,21-JUL-2026,H,N,CC|CHQ|INS,1,9650.05,0.0,6,BR118,N,N,D
00402420,RETAIL,"CHEN, MELE",,24-APR-1981,F,127197529,,,48 CLYDE AVE,HILLCREST,HAMILTON 3216,0211022800,,MELE81@GMAIL.COM,ACCO,TE WHATU ORA,B: 30-70K,26-FEB-2018,Y,30-JUN-2020,M,N,INS|PL,1,8276.26,0.0,2,BR133,N,N,A
